batsman,out,numberofballs,average,strikerate,total_runs
DT Christian,24,373,18.66666667,120.1072386,448
Gurkeerat Singh,26,342,17.03846154,129.5321637,443
E Lewis,16,327,27.3125,133.6391437,437
NLTC Perera,24,305,17.66666667,139.0163934,424
SA Asnodkar,19,339,22.26315789,124.7787611,423
JR Hopes,17,305,24.52941176,136.7213115,417
SN Khan,18,285,22.88888889,144.5614035,412
J Botha,22,358,18.59090909,114.2458101,409
LR Shukla,29,346,13.96551724,117.0520231,405
AL Menaria,22,356,18.22727273,112.6404494,401
MV Boucher,15,308,26.26666667,127.9220779,394
CA Pujara,18,391,21.66666667,99.74424552,390
Azhar Mahmood,19,302,20.42105263,128.4768212,388
R Ashwin,33,336,11.39393939,111.9047619,376
DB Ravi Teja,20,317,18.75,118.29653,375
S Sohal,18,290,20.44444444,126.8965517,368
A Mishra,29,385,12.62068966,95.06493506,366
P Negi,26,288,14.03846154,126.7361111,365
R Bhatia,29,284,11.79310345,120.4225352,342
P Kumar,34,314,10,108.2802548,340
AP Tare,24,273,14.125,124.1758242,339
SW Billings,19,250,17.73684211,134.8,337
JEC Franklin,11,300,29.72727273,109,327
RN ten Doeschate,17,234,19.17647059,139.3162393,326
KV Sharma,21,270,15.0952381,117.4074074,317
R Vinay Kumar,26,271,11.92307692,114.3911439,310
DB Das,12,260,25.33333333,116.9230769,304
C de Grandhomme,15,223,20.26666667,136.32287,304
M Ali,10,177,30.2,170.6214689,302
LA Pomersbach,11,244,27.45454545,123.7704918,302
UBT Chand,20,300,15,100,300
SP Goswami,18,290,16.38888889,101.7241379,295
DJG Sammy,15,241,19.66666667,122.406639,295
Y Nagar,15,257,19,110.8949416,285
VVS Laxman,16,266,17.625,106.0150376,282
GH Vihari,18,312,15.55555556,89.74358974,280
A Ashish Reddy,15,191,18.66666667,146.5968586,280
B Chipli,16,250,17.5,112,280
MJ Lumb,10,193,27.8,144.0414508,278
MJ Guptill,12,196,22.58333333,138.2653061,271
R Sathish,16,231,16.875,116.8831169,270
M Kaif,16,249,16.1875,104.0160643,259
SM Katich,10,184,24.1,130.9782609,241
BCJ Cutting,11,141,21.72727273,169.5035461,239
MD Mishra,15,208,15.8,113.9423077,237
MR Marsh,12,196,18.75,114.7959184,225
K Goel,13,230,16.76923077,94.7826087,218
AA Jhunjhunwala,14,210,15.5,103.3333333,217
TM Head,6,148,34.16666667,138.5135135,205
